Change Timestamp,Variable,New Value
2026-03-20T19:12:22Z,xpostn,10.4666
2026-03-20T19:12:22Z,ypostn,7.1165
2026-03-20T19:12:22Z,zpostn,-0.38785
2026-03-20T19:12:22Z,xlod,1
2026-03-20T19:12:22Z,ylod,5
2026-03-20T19:12:22Z,zlod,58
2026-03-20T19:12:22Z,fact,0
2026-03-20T19:12:22Z,toolnum,6
2026-03-20T19:12:22Z,program,CDSDRYRUN
2026-03-20T19:12:23Z,xpostn,10.4666
2026-03-20T19:12:23Z,ypostn,7.1165
2026-03-20T19:12:23Z,zpostn,-0.38785
2026-03-20T19:12:23Z,xlod,1
2026-03-20T19:12:23Z,ylod,5
2026-03-20T19:12:23Z,zlod,58
2026-03-20T19:12:23Z,fact,0
2026-03-20T19:12:23Z,toolnum,6
2026-03-20T19:12:23Z,program,CDSDRYRUN
2026-03-20T19:12:24Z,xpostn,10.4666
2026-03-20T19:12:24Z,ypostn,7.1165
2026-03-20T19:12:24Z,zpostn,-0.38785
2026-03-20T19:12:24Z,xlod,1
2026-03-20T19:12:24Z,ylod,5
2026-03-20T19:12:24Z,zlod,58
2026-03-20T19:12:24Z,fact,0
2026-03-20T19:12:24Z,toolnum,6
2026-03-20T19:12:24Z,program,CDSDRYRUN
2026-03-20T19:12:25Z,xpostn,10.4666
2026-03-20T19:12:25Z,ypostn,7.1165
2026-03-20T19:12:25Z,zpostn,-0.38785
2026-03-20T19:12:25Z,xlod,1
2026-03-20T19:12:25Z,ylod,5
2026-03-20T19:12:25Z,zlod,58
2026-03-20T19:12:25Z,fact,0
2026-03-20T19:12:25Z,toolnum,6
2026-03-20T19:12:25Z,program,CDSDRYRUN
2026-03-20T19:12:26Z,xpostn,10.4666
2026-03-20T19:12:26Z,ypostn,7.1165
2026-03-20T19:12:26Z,zpostn,-0.38785
2026-03-20T19:12:26Z,xlod,1
2026-03-20T19:12:26Z,ylod,5
2026-03-20T19:12:26Z,zlod,58
2026-03-20T19:12:26Z,fact,0
2026-03-20T19:12:26Z,toolnum,6
2026-03-20T19:12:26Z,program,CDSDRYRUN
2026-03-20T19:12:27Z,xpostn,10.4666
2026-03-20T19:12:27Z,ypostn,7.1165
2026-03-20T19:12:27Z,zpostn,-0.38785
2026-03-20T19:12:27Z,xlod,1
2026-03-20T19:12:27Z,ylod,5
2026-03-20T19:12:27Z,zlod,58
2026-03-20T19:12:27Z,fact,0
2026-03-20T19:12:27Z,toolnum,6
2026-03-20T19:12:27Z,program,CDSDRYRUN
2026-03-20T19:12:28Z,xpostn,10.4666
2026-03-20T19:12:28Z,ypostn,7.1165
2026-03-20T19:12:28Z,zpostn,-0.38785
2026-03-20T19:12:28Z,xlod,1
2026-03-20T19:12:28Z,ylod,5
2026-03-20T19:12:28Z,zlod,58
2026-03-20T19:12:28Z,fact,0
2026-03-20T19:12:28Z,toolnum,6
2026-03-20T19:12:28Z,program,CDSDRYRUN
2026-03-20T19:12:29Z,xpostn,10.4666
2026-03-20T19:12:29Z,ypostn,7.1165
2026-03-20T19:12:29Z,zpostn,-0.38785
2026-03-20T19:12:29Z,xlod,1
2026-03-20T19:12:29Z,ylod,5
2026-03-20T19:12:29Z,zlod,58
2026-03-20T19:12:29Z,fact,0
2026-03-20T19:12:29Z,toolnum,6
2026-03-20T19:12:29Z,program,CDSDRYRUN
2026-03-20T19:12:30Z,xpostn,10.4666
2026-03-20T19:12:30Z,ypostn,7.1165
2026-03-20T19:12:30Z,zpostn,-0.38785
2026-03-20T19:12:30Z,xlod,1
2026-03-20T19:12:30Z,ylod,5
2026-03-20T19:12:30Z,zlod,58
2026-03-20T19:12:30Z,fact,0
2026-03-20T19:12:30Z,toolnum,6
2026-03-20T19:12:30Z,program,CDSDRYRUN
2026-03-20T19:12:31Z,xpostn,10.4666
2026-03-20T19:12:31Z,ypostn,7.1165
2026-03-20T19:12:31Z,zpostn,51.70105
2026-03-20T19:12:31Z,xlod,1
2026-03-20T19:12:31Z,ylod,5
2026-03-20T19:12:31Z,zlod,71
2026-03-20T19:12:31Z,fact,49.998
2026-03-20T19:12:31Z,toolnum,6
2026-03-20T19:12:31Z,program,CDSDRYRUN
2026-03-20T19:12:32Z,xpostn,10.4666
2026-03-20T19:12:32Z,ypostn,7.1165
2026-03-20T19:12:32Z,zpostn,67.2814
2026-03-20T19:12:32Z,xlod,1
2026-03-20T19:12:32Z,ylod,5
2026-03-20T19:12:32Z,zlod,66
2026-03-20T19:12:32Z,fact,9.9996
2026-03-20T19:12:32Z,toolnum,6
2026-03-20T19:12:32Z,program,CDSDRYRUN
2026-03-20T19:12:33Z,xpostn,10.4666
2026-03-20T19:12:33Z,ypostn,7.1165
2026-03-20T19:12:33Z,zpostn,85.68235
2026-03-20T19:12:33Z,xlod,1
2026-03-20T19:12:33Z,ylod,5
2026-03-20T19:12:33Z,zlod,66
2026-03-20T19:12:33Z,fact,24.999
2026-03-20T19:12:33Z,toolnum,6
2026-03-20T19:12:33Z,program,CDSDRYRUN
2026-03-20T19:12:34Z,xpostn,10.4666
2026-03-20T19:12:34Z,ypostn,7.1165
2026-03-20T19:12:34Z,zpostn,98.4788
2026-03-20T19:12:34Z,xlod,1
2026-03-20T19:12:34Z,ylod,5
2026-03-20T19:12:34Z,zlod,66
2026-03-20T19:12:34Z,fact,24.999
2026-03-20T19:12:34Z,toolnum,6
2026-03-20T19:12:34Z,program,CDSDRYRUN
2026-03-20T19:12:35Z,xpostn,10.4666
2026-03-20T19:12:35Z,ypostn,7.1165
2026-03-20T19:12:35Z,zpostn,126.2045
2026-03-20T19:12:35Z,xlod,1
2026-03-20T19:12:35Z,ylod,5
2026-03-20T19:12:35Z,zlod,66
2026-03-20T19:12:35Z,fact,24.999
2026-03-20T19:12:35Z,toolnum,6
2026-03-20T19:12:35Z,program,CDSDRYRUN
2026-03-20T19:12:36Z,xpostn,10.4666
2026-03-20T19:12:36Z,ypostn,7.1165
2026-03-20T19:12:36Z,zpostn,154.64115
2026-03-20T19:12:36Z,xlod,1
2026-03-20T19:12:36Z,ylod,5
2026-03-20T19:12:36Z,zlod,69
2026-03-20T19:12:36Z,fact,24.999
2026-03-20T19:12:36Z,toolnum,6
2026-03-20T19:12:36Z,program,CDSDRYRUN
2026-03-20T19:12:37Z,xpostn,10.4666
2026-03-20T19:12:37Z,ypostn,7.1165
