line_number,raw_line,layer,laser_on,feedrate,tool,X,Y,Z,B,C,dx,dy,dz,step_distance,deposition_move,laser_power_watts,estimated_linear_energy
3,(FAN DRY CYCLE),,False,,,,,,,,,,,,False,500.0,
12,G28 G91 Z0.,,False,,,,,0.0,,,,,,,False,500.0,
14,G28 G91 X0. Y0. B0. C0.,,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,False,500.0,
41,G28 G91 Z0.,1.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,500.0,
43,G28 G91 X0. Y0. B0. C0.,1.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,500.0,
49,( --- files_x/Jobfiles/5X_begin.txt --- ),1.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,500.0,
53,(I: NOZZLE G   [L/min] #901=3.),1.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,500.0,
74,/9 G4G94X10.0(HIGH RATE HEAD),1.0,False,,,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,False,500.0,
75,/9 M440 (NOZZLE GAS ON),1.0,False,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,500.0,
77,/9 G4G94X10.,1.0,False,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,500.0,
81,G68.2 P0 X-25.9252 Y4.4527 Z6.025 I0. J0. K0.,1.0,False,,,-25.9252,4.4527,6.025,0.0,0.0,-35.925200000000004,4.4527,6.025,36.69805386297754,False,500.0,
83,G0 X0. Y0.,1.0,False,,,0.0,0.0,6.025,0.0,0.0,25.9252,-4.4527,0.0,26.304800556742492,False,500.0,
84,G0 G43 H29 Z0.,1.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.025,6.025,False,500.0,
