line_number,parameter_id,value,layer
52,900,500.0,1
53,901,3.0,1
54,902,8.0,1
55,903,0.0,1
56,904,0.0,1
57,905,0.0,1
58,906,0.0,1
59,900,500.0,1
60,901,3.0,1
61,902,8.0,1
62,903,0.0,1
63,904,0.0,1
64,905,0.0,1
65,906,0.0,1
66,907,1.0,1
92,911,1.0,1
360,911,0.0,1
371,911,1.0,1
4401,911,0.0,1
4414,911,1.0,2
4682,911,0.0,2
4693,911,1.0,2
8729,911,0.0,2
8742,911,1.0,3
9011,911,0.0,3
9022,911,1.0,3
13052,911,0.0,3
13065,911,1.0,4
13334,911,0.0,4
13345,911,1.0,4
17381,911,0.0,4
17394,911,1.0,5
17663,911,0.0,5
17674,911,1.0,5
21704,911,0.0,5
21717,911,1.0,6
21986,911,0.0,6
21997,911,1.0,6
26033,911,0.0,6
26046,911,1.0,7
26315,911,0.0,7
26326,911,1.0,7
30357,911,0.0,7
30370,911,1.0,8
30638,911,0.0,8
30649,911,1.0,8
34685,911,0.0,8
34698,911,1.0,9
34966,911,0.0,9
34977,911,1.0,9
39007,911,0.0,9
39020,911,1.0,10
39288,911,0.0,10
39299,911,1.0,10
43335,911,0.0,10
43348,911,1.0,11
43617,911,0.0,11
43628,911,1.0,11
47658,911,0.0,11
47671,911,1.0,12
47940,911,0.0,12
47951,911,1.0,12
51987,911,0.0,12
52000,911,1.0,13
52269,911,0.0,13
52280,911,1.0,13
56310,911,0.0,13
56323,911,1.0,14
56592,911,0.0,14
56603,911,1.0,14
60639,911,0.0,14
60652,911,1.0,15
60921,911,0.0,15
60932,911,1.0,15
64963,911,0.0,15
64976,911,1.0,16
65245,911,0.0,16
65256,911,1.0,16
69292,911,0.0,16
69305,911,1.0,17
69574,911,0.0,17
69585,911,1.0,17
73615,911,0.0,17
73628,911,1.0,18
73896,911,0.0,18
73907,911,1.0,18
77943,911,0.0,18
77956,911,1.0,19
78155,911,0.0,19
78166,911,1.0,19
80161,911,0.0,19
80174,911,1.0,20
80373,911,0.0,20
80384,911,1.0,20
82380,911,0.0,20
82393,911,1.0,21
82592,911,0.0,21
82603,911,1.0,21
84598,911,0.0,21
84611,911,1.0,22
84810,911,0.0,22
84820,911,1.0,22
86816,911,0.0,22
86829,911,1.0,23
87028,911,0.0,23
87037,911,1.0,23
89032,911,0.0,23
89045,911,1.0,24
89244,911,0.0,24
89255,911,1.0,24
91251,911,0.0,24
91264,911,1.0,25
91444,911,0.0,25
91454,911,1.0,25
91538,911,0.0,25
91549,911,1.0,25
92191,911,0.0,25
92201,911,1.0,25
92843,911,0.0,25
92856,911,1.0,26
93036,911,0.0,26
93046,911,1.0,26
93130,911,0.0,26
93141,911,1.0,26
93783,911,0.0,26
93793,911,1.0,26
94435,911,0.0,26
94448,911,1.0,27
94628,911,0.0,27
94638,911,1.0,27
94723,911,0.0,27
94734,911,1.0,27
95376,911,0.0,27
95386,911,1.0,27
96029,911,0.0,27
96042,911,1.0,28
96222,911,0.0,28
96232,911,1.0,28
96316,911,0.0,28
96327,911,1.0,28
96969,911,0.0,28
96979,911,1.0,28
97621,911,0.0,28
97634,911,1.0,29
97814,911,0.0,29
97824,911,1.0,29
97909,911,0.0,29
97920,911,1.0,29
98562,911,0.0,29
98572,911,1.0,29
99214,911,0.0,29
99227,911,1.0,30
99407,911,0.0,30
99417,911,1.0,30
99501,911,0.0,30
99512,911,1.0,30
100154,911,0.0,30
100164,911,1.0,30
100806,911,0.0,30
