layer,laser_on,x1,y1,z1,x2,y2,z2,feedrate
,False,,,,,,0.0,
,False,,,0.0,0.0,0.0,0.0,
1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,False,0.0,0.0,0.0,10.0,0.0,0.0,
1.0,False,10.0,0.0,0.0,10.0,0.0,0.0,
1.0,False,10.0,0.0,0.0,10.0,0.0,0.0,
1.0,False,10.0,0.0,0.0,-25.9252,4.4527,6.025,
1.0,False,-25.9252,4.4527,6.025,0.0,0.0,6.025,
1.0,False,0.0,0.0,6.025,0.0,0.0,0.0,
1.0,False,0.0,0.0,0.0,-25.9252,4.4527,6.025,
1.0,False,-25.9252,4.4527,6.025,-25.9252,4.4527,0.025,600.0
1.0,True,-25.9252,4.4527,0.025,-25.9252,5.3298,0.025,600.0
1.0,True,-25.9252,5.3298,0.025,-25.9252,6.2068,0.025,600.0
1.0,True,-25.9252,6.2068,0.025,-25.9252,7.0838,0.025,600.0
1.0,True,-25.9252,7.0838,0.025,-25.9252,7.8681,0.025,600.0
1.0,True,-25.9252,7.8681,0.025,-25.9252,8.6524,0.025,600.0
1.0,True,-25.9252,8.6524,0.025,-25.9252,9.4367,0.025,600.0
1.0,True,-25.9252,9.4367,0.025,-25.9252,10.221,0.025,600.0
1.0,True,-25.9252,10.221,0.025,-25.9252,10.98,0.025,600.0
1.0,True,-25.9252,10.98,0.025,-25.9252,11.7389,0.025,600.0
1.0,True,-25.9252,11.7389,0.025,-25.9252,12.4979,0.025,600.0
1.0,True,-25.9252,12.4979,0.025,-25.9252,13.2569,0.025,600.0
1.0,True,-25.9252,13.2569,0.025,-25.9252,14.2183,0.025,600.0
1.0,True,-25.9252,14.2183,0.025,-25.9252,15.1797,0.025,600.0
1.0,True,-25.9252,15.1797,0.025,-25.9252,16.1411,0.025,600.0
1.0,True,-25.9252,16.1411,0.025,-25.9252,17.1024,0.025,600.0
1.0,True,-25.9252,17.1024,0.025,-25.9252,18.0638,0.025,600.0
1.0,True,-25.9252,18.0638,0.025,-25.9252,19.0252,0.025,600.0
1.0,True,-25.9252,19.0252,0.025,-25.9252,19.9866,0.025,600.0
1.0,True,-25.9252,19.9866,0.025,-25.9252,20.9479,0.025,600.0
1.0,True,-25.9252,20.9479,0.025,-25.9252,21.8587,0.025,600.0
1.0,True,-25.9252,21.8587,0.025,-25.9252,22.7695,0.025,600.0
1.0,True,-25.9252,22.7695,0.025,-25.9252,23.6803,0.025,600.0
1.0,True,-25.9252,23.6803,0.025,-25.9239,24.5658,0.025,600.0
1.0,True,-25.9239,24.5658,0.025,-25.9227,25.4513,0.025,600.0
1.0,True,-25.9227,25.4513,0.025,-25.8968,25.5704,0.025,600.0
